Node Number , Node Position (m) , Temperature (Deg C) 
0,0.0,0.0
1,0.02,1.9999983410905908
2,0.04,3.9999966952621784
3,0.06,5.999995068952113
4,0.08,7.9999934684954095
5,0.1,9.999991900100177
6,0.12,11.999990369823644
7,0.14,13.999988883548863
8,0.16,15.99998744696221
9,0.18,17.99998606553174
10,0.2,19.99998474448649
11,0.22,21.999983488796797
12,0.24,23.999982303155733
13,0.26,25.999981191961687
14,0.28,27.99998015930219
15,0.3,29.99997920893902
16,0.32,31.99997834429466
17,0.34,33.999977568440144
18,0.36,35.999976884084326
19,0.38,37.99997629356463
20,0.4,39.999975798839316
21,0.42,41.999975401481215
22,0.44,43.99997510267309
23,0.46,45.999974903204496
24,0.48,47.999974803470195
25,0.5,49.999974803470195
26,0.52,51.999974902811275
27,0.54,53.9999751007101
28,0.56,55.99997539599786
29,0.58,57.999975787126345
30,0.6,59.99997627217562
31,0.62,61.999976848863014
32,0.64,63.99997751455354
33,0.66,65.99997826627171
34,0.68,67.9999791007146
35,0.7000000000000001,69.99998001426613
36,0.72,71.99998100301258
37,0.74,73.9999820627592
38,0.76,75.99998318904787
39,0.78,77.99998437717566
40,0.8,79.99998562221441
41,0.8200000000000001,81.99998691903097
42,0.84,83.99998826230832
43,0.86,85.9999896465672
44,0.88,87.99999106618839
45,0.9,89.99999251543538
46,0.92,91.99999398847751
47,0.9400000000000001,93.99999547941329
48,0.96,95.99999698229391
49,0.98,97.99999849114695
50,1.0,100.0

